ARC,GDOT
1,12
2,12
3,12
4,12
5,12
6,12
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,14
24,14
25,14
26,14
27,14
28,14
29,14
30,29
31,29
32,29
33,29
34,29
35,29
36,14
37,14
38,14
39,14
40,14
41,14
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,15
50,15
51,15
52,15
53,12
54,12
55,12
56,12
57,12
58,12
59,15
60,15
61,15
62,15
63,15
64,15
65,27
66,27
67,15
68,27
69,24
70,24
71,24
72,24
73,24
74,24
75,24
76,24
77,24
78,24
79,24
80,24
81,27
82,27
83,27
84,27
85,27
86,27
87,24
88,27
89,27
90,27
91,24
92,24
93,24
94,24
95,24
96,24
97,24
98,24
99,24
100,24
101,24
102,24
103,13
104,23
105,27
106,27
107,27
108,27
109,27
110,27
111,27
112,31
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,27
124,27
125,27
126,27
127,27
128,27
129,27
130,15
131,31
132,31
133,31
134,15
135,15
136,15
137,29
138,29
139,29
140,29
141,29
142,29
143,29
144,29
145,29
146,29
147,29
148,29
149,29
150,28
151,28
152,28
153,28
154,14
155,14
156,14
157,18
158,18
159,18
160,28
161,28
162,28
163,18
164,18
165,18
166,18
167,18
168,29
169,28
170,28
171,28
172,28
173,28
174,18
175,18
176,18
177,18
178,18
179,18
180,18
181,18
182,19
183,19
184,19
185,19
186,19
187,19
188,19
189,25
190,25
191,25
192,25
193,25
194,25
195,25
196,25
197,25
198,25
199,25
200,25
201,25
202,25
203,25
204,25
205,25
206,25
207,25
208,25
209,25
210,25
211,25
212,25
213,25
214,25
215,25
216,25
217,28
218,28
219,28
220,28
221,28
222,28
223,28
224,28
225,28
226,25
227,25
228,25
229,25
230,25
231,25
232,17
233,17
234,17
235,17
236,26
237,26
238,20
239,20
240,20
241,20
242,20
243,20
244,20
245,20
246,20
247,20
248,20
249,20
250,19
251,19
252,19
253,19
254,26
255,26
256,26
257,26
258,26
259,26
260,26
261,26
262,26
263,26
264,26
265,26
266,26
267,35
268,35
269,35
270,35
271,35
272,35
273,35
274,35
275,35
276,35
277,35
278,35
279,35
280,36
281,35
282,35
283,35
284,35
285,17
286,17
287,17
288,36
289,36
290,36
291,36
292,36
293,36
294,36
295,36
296,36
297,36
298,21
299,21
300,21
301,21
302,21
303,21
304,21
305,21
306,21
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
315,37
316,37
317,37
318,37
319,37
320,21
321,21
322,21
323,21
324,21
325,21
326,21
327,38
328,38
329,38
330,38
331,38
332,38
