"ID","DATA","LONGITUDE","LATITUDE","centroid"
816486,51541,-84632396,33674814,5205
816566,49553,-84587722,33566497,4162
816646,51551,-84588167,33602731,5210
821689,52089,-84490435,33576360,5496
821697,52091,-84490231,33558242,5497
821753,52775,-84490637,33594476,5857
821801,52774,-84490841,33612593,5856
821833,50313,-84468990,33594644,4563
821849,48901,-84512701,33630538,3815
821865,52279,-84512909,33648653,5597
821913,54024,-84534782,33666594,6514
822967,53396,-84496815,33662370,6184
822975,55082,-84496713,33653311,7082
823015,55667,-84496918,33671429,7406
823047,53395,-84497020,33680488,6183
823103,55084,-84485882,33653396,7083
823119,55671,-84485983,33662455,7408
823127,55669,-84486084,33671514,7407
823143,50998,-84475150,33662539,4920
823159,54749,-84475250,33671598,6902
823167,50315,-84468592,33558410,4564
823183,52782,-84468791,33576528,5861
823199,52786,-84446953,33558575,5863
823215,52784,-84447147,33576692,5862
823247,55348,-84452802,33599296,7232
823263,52778,-84452899,33608355,5859
823708,52780,-84452704,33590238,5860
823740,52294,-84409036,33554324,5605
823772,55120,-84409130,33563383,7103
823796,52290,-84430865,33572285,5603
823804,55108,-84430961,33581343,7097
823820,55112,-84420044,33572364,7099
823852,52292,-84409223,33572443,5604
823876,55110,-84420138,33581422,7098
823900,55352,-84441880,33590319,7234
823916,51006,-84431056,33590399,4925
823932,55350,-84441977,33599377,7233
823948,54760,-84431152,33599457,6908
823964,54764,-84420233,33590479,6910
823980,54762,-84420327,33599537,6909
823996,55347,-84442073,33608436,7231
824012,53422,-84425882,33613086,6200
874461,51008,-84382396,33595279,4926
874541,53428,-84382576,33613396,6203
874557,54769,-84376579,33554554,6913
874597,54768,-84376669,33563613,6912
874661,55738,-84365848,33563688,7445
874669,55740,-84355028,33563761,7446
874677,55736,-84376758,33572672,7444
877813,50640,-84339098,33595574,4733
877829,53058,-84339270,33613691,6008
877845,53060,-84317617,33613833,6009
877877,52194,-84322650,33573037,5550
877893,55020,-84311829,33573107,7048
877917,54689,-84300925,33564117,6869
877933,54690,-84290105,33564185,6870
877941,53070,-84301008,33573176,6014
877957,55512,-84301089,33582235,7325
877973,55514,-84290267,33582302,7326
877989,55516,-84290186,33573245,7327
878005,55517,-84279284,33564252,7328
878029,55016,-84322735,33582095,7046
878045,53062,-84317450,33595716,6010
878061,55018,-84311912,33582165,7047
897714,56181,-84292215,33799698,7683
897722,56189,-84281205,33781649,7688
897746,54356,-84281285,33790708,6693
897794,56185,-84281366,33799765,7685
897810,51868,-84303147,33808685,5376
897818,54908,-84303230,33817742,6989
897826,54912,-84292297,33808754,6991
897882,54910,-84292378,33817810,6990
897922,55519,-84268464,33564319,7329
897962,53072,-84273994,33577873,6015
898409,50067,-84252195,33559887,4429
898433,52631,-84252349,33578004,5780
898441,51895,-84252503,33596120,5390
898449,52633,-84230704,33578131,5781
898457,54433,-84230854,33596247,6733
898465,54430,-84252657,33614238,6731
898481,50065,-84252812,33632355,4428
898497,52627,-84252966,33650470,5777
898513,51889,-84253121,33668588,5387
898529,54416,-84231454,33668715,6724
898545,54441,-84209060,33578255,6737
898561,54445,-84187274,33560257,6739
898577,51897,-84209205,33596371,5391
898625,54443,-84187415,33578375,6738
898641,47678,-84154883,33569486,3174
939220,52868,-84147576,34049604,5907
939236,52407,-84147710,34067718,5665
939292,50321,-84111598,33569704,4567
939324,48909,-84068313,33569906,3820
939348,50319,-84111849,33605939,4566
939380,53443,-84144786,33669187,6211
939420,53441,-84144918,33687304,6210
767784,48132,-85020523,33562022,3412
767824,50494,-85021147,33598255,4655
767888,51494,-85022395,33670715,5180
767896,49534,-85021771,33634485,4151
767928,50496,-84977851,33598769,4656
767059,51476,-85110377,33742100,5171
767091,51480,-85066368,33706416,5173
767139,49524,-85089683,33796711,4146
767171,53275,-85052820,33552571,6121
767243,53274,-85053138,33570687,6120
767291,53270,-85053456,33588802,6118
767323,53268,-85053775,33606918,6117
765206,53260,-85118724,33606102,6113
765238,50836,-85118392,33587986,4835
765254,52261,-85096093,33552031,5587
765286,52259,-85096420,33570147,5586
765318,53264,-85096747,33588262,6115
765390,53272,-85080108,33565824,6119
765438,55648,-85069288,33565959,7396
765446,55645,-85080269,33574881,7394
764556,50263,-85151031,33596623,4536
764588,48750,-85173717,33650677,3737
764732,48754,-85117728,33551756,3739
764764,52257,-85118060,33569871,5585
762047,48121,-85345480,33575803,3406
762087,48119,-85348510,33720716,3405
762103,49510,-85350029,33793171,4139
762135,49516,-85346994,33648261,4142
762175,49518,-85260357,33649499,4143
762239,49520,-85258914,33577039,4144
757953,47390,-85745315,33967858,3008
1059708,51944,-83862813,33597842,5418
1059844,54498,-83862888,33615960,6767
1059884,54508,-83841024,33561668,6772
1059932,54506,-83841093,33579786,6771
1059964,54502,-83841163,33597903,6769
1062269,51981,-83765963,33788308,5437
1062413,48921,-83700431,33589139,3826
1062493,48919,-83700595,33661608,3825
1093975,48926,-83354034,33589217,3829
1094015,48925,-83353915,33661687,3828
1094047,50124,-83353795,33734153,4459
1094087,50122,-83353675,33806617,4458
1094167,48499,-83223982,33625221,3604
1096603,50048,-83179539,33951221,4419
1096635,50044,-83179275,34023677,4417
1096691,47751,-83092256,34023427,3215
1097152,47561,-83050730,33624724,3113
1097232,48163,-83049991,33769657,3428
1097320,48167,-82877480,33623988,3430
1097344,48165,-82876458,33768920,3429
1097408,47396,-83049251,33914580,3011
1116134,47563,-82704235,33623015,3114
1116190,48169,-82702927,33767946,3431
1116598,47514,-82701615,33912867,3085
1116614,49029,-82831205,34022319,3883
1116718,48051,-82700299,34057778,3368
1116782,48173,-82530993,33621804,3433
1116838,48171,-82529401,33766732,3432
1117334,47567,-82357756,33620356,3116
1117430,48181,-82355880,33765282,3437
1117454,48055,-82527803,33911652,3370
1120431,50528,-82249810,33601230,4673
1120833,50532,-82207041,33564561,4675
1120873,50530,-82206512,33600794,4674
1120889,49608,-82227365,33655359,4190
1120953,48183,-82182365,33763593,3438
1120977,49612,-82163762,33564110,4192
1120993,51597,-82163214,33600343,5234
1121009,51601,-82131445,33554706,5236
1121041,54048,-82131164,33572822,6527
1121428,51599,-82119916,33599878,5235
1121444,49610,-82140716,33654456,4191
1121492,54050,-82109523,33572586,6528
1121500,54052,-82109808,33554469,6529
1121532,52081,-82087881,33572345,5492
1121540,50266,-82076619,33599396,4538
1121548,52083,-82066240,33572100,5493
1121660,50268,-82033323,33598901,4539
1121676,50270,-82033924,33562668,4540
1122110,48779,-82054068,33653494,3752
1122118,48783,-81968679,33580010,3754
1122222,48781,-81967423,33652472,3753
1122254,48186,-82008857,33761666,3440
1122294,48190,-81838088,33614584,3442
626800,47720,-80603235,31634461,3199
626816,47719,-80593910,31924287,3198
623789,48583,-81172050,32589089,3648
622453,47516,-81589040,33103602,3086
579396,48196,-81843522,33324729,3445
579468,48194,-81840809,33469660,3444
578769,54080,-81938631,33443746,6544
578825,54078,-81938312,33461862,6543
578897,52483,-81980919,33498623,5703
578961,51609,-81991264,33525926,5240
579001,51613,-81948639,33489169,5242
579009,51611,-81948004,33525401,5241
572596,53636,-82131725,33536589,6311
572700,50534,-82089904,33445529,4676
572732,53646,-82110946,33482003,6316
572748,52924,-82089615,33463647,5936
572788,49613,-82089326,33481762,4193
572804,52142,-82068586,33427168,5523
572836,52928,-82068293,33445286,5938
572035,51134,-82132566,33482239,4993
572091,52352,-82175535,33500818,5636
572123,52354,-82153910,33500589,5637
572131,51130,-82164309,33527878,4991
572171,53642,-82132286,33500356,6314
572187,51132,-82132006,33518474,4992
569453,49097,-82175806,33482700,3918
569485,48184,-82250322,33564997,3439
