ID,OrigRASTERC,COMTAZ,F_AREA,NEWRASTERC
4,2,812,0.001245403,3002
1,2,813,0.003495675,3002
2,2,833,0.002445075,3002
3,2,845,0.000113592,3002
7,3,951,0.000914939,3003
5,3,953,0.000492838,3003
8,3,957,0.003291109,3003
9,3,958,0.01877414,3003
6,3,959,0.000874692,3003
10,3,1025,8.19E-06,3003
11,3,1228,0.000515522,3003
15,4,528,0.00030401,3004
14,4,529,8.26E-05,3004
13,4,1654,0.009499171,3004
12,4,1655,0.002705758,3004
16,6,427,0.012081407,3006
18,6,1368,0.002684556,3006
19,6,1370,0.004723729,3006
17,6,1385,0.005061197,3006
20,9,10826,0.000130276,3009
21,9,10834,1.79E-05,3009
22,9,10835,0.000152919,3009
23,9,10836,5.29E-05,3009
24,9,10847,3.94E-05,3009
25,10,889,0.001600384,3010
28,10,894,3.57E-05,3010
29,10,898,0.000897971,3010
30,10,1073,0.003932749,3010
31,10,1074,0.000973269,3010
27,10,1077,0.003517498,3010
26,10,1079,0.013913901,3010
35,11,757,0.002089453,3011
32,11,758,0.007613132,3011
37,11,759,0.000315926,3011
36,11,760,0.006225474,3011
33,11,761,0.008286128,3011
38,11,762,0.000430419,3011
34,11,764,0.000231045,3011
39,13,1661,0.002545375,3013
40,13,1668,0.003670326,3013
42,14,1521,0.008724312,3014
41,14,1522,0.005404362,3014
43,14,1523,0.000856529,3014
45,14,1531,0.005211727,3014
44,14,1532,0.004354532,3014
50,15,448,0.011049688,3015
47,15,449,0.001674942,3015
49,15,1361,0.010222435,3015
48,15,1362,0.000256755,3015
46,15,1700,0.001345855,3015
52,18,1396,0.000113645,3018
51,18,1447,0.000911214,3018
53,18,1448,4.23E-05,3018
57,21,807,0.001377526,3021
58,21,808,0.00213142,3021
54,21,809,0.002381514,3021
59,21,810,0.004408779,3021
55,21,811,0.0078483,3021
60,21,812,0.006578266,3021
56,21,813,0.00030363,3021
61,22,1065,0.008348934,3022
62,22,1067,0.006503173,3022
63,23,793,0.000725488,3023
66,23,1006,1.00E-05,3023
67,23,1007,0.003907205,3023
68,23,1008,0.000469379,3023
64,23,1009,0.016019137,3023
65,23,1011,0.003900069,3023
71,24,995,0.002193793,3024
69,24,1003,0.000884363,3024
70,24,1012,0.000147848,3024
73,24,1026,0.001675751,3024
72,24,1027,0.00031513,3024
74,24,1028,0.001038735,3024
80,25,1039,0.000335374,3025
75,25,1041,0.002608298,3025
76,25,1187,0.000444217,3025
81,25,1199,0.003252161,3025
82,25,1200,0.01156101,3025
77,25,1201,0.00018488,3025
83,25,1202,0.000382627,3025
78,25,1203,0.003497541,3025
79,25,1205,0.002604026,3025
90,26,514,6.70E-05,3026
89,26,519,0.000489996,3026
86,26,1624,1.87E-05,3026
87,26,1625,0.000906363,3026
84,26,1626,0.007755966,3026
88,26,1627,0.005543597,3026
85,26,1628,0.009608666,3026
93,27,1605,0.005021232,3027
92,27,1613,0.011145423,3027
91,27,1637,0.008224335,3027
95,28,1613,0.016218879,3028
96,28,1632,0.003518749,3028
94,28,1638,0.018062311,3028
97,30,1124,0.002314934,3030
99,31,1182,0.003432986,3031
100,31,1184,0.003837505,3031
98,31,1390,5.57E-05,3031
103,32,1112,0.004039918,3032
107,32,1113,0.00488598,3032
105,32,1114,8.18E-05,3032
106,32,1119,0.006892012,3032
101,32,1128,0.002586217,3032
102,32,1140,0.002766608,3032
104,32,1141,0.003458669,3032
109,33,1151,0.006601767,3033
108,33,1152,0.006814752,3033
110,33,1153,6.51E-06,3033
114,33,1156,0.001536842,3033
115,33,1157,0.002525075,3033
113,33,1159,0.004141049,3033
111,33,1160,1.49E-05,3033
112,33,1161,0.003070492,3033
116,34,1373,0.001516554,3034
118,34,1375,0.004491449,3034
117,34,1376,7.91E-05,3034
119,34,1377,4.91E-05,3034
126,35,1416,0.000509483,3035
125,35,1417,0.000584874,3035
123,35,1449,0.003983635,3035
122,35,1451,0.012335842,3035
124,35,1459,2.06E-05,3035
120,35,1469,0.004837169,3035
121,35,1470,0.002117936,3035
127,36,1427,0.00039301,3036
128,36,1431,5.52E-05,3036
129,36,1432,0.008285662,3036
132,36,1487,0.000242496,3036
133,36,1488,0.00023125,3036
134,36,1489,0.007263447,3036
131,36,1639,0.005627538,3036
130,36,1640,0.002292448,3036
135,37,1652,0.000782947,3037
136,37,1653,5.39E-06,3037
141,39,249,1.68E-05,3039
140,39,250,0.01055752,3039
138,39,585,0.010099535,3039
137,39,599,0.004027924,3039
139,39,606,0.00064351,3039
144,40,628,4.11E-05,3040
142,40,635,0.005781488,3040
143,40,636,0.000472042,3040
145,41,614,0.000702886,3041
149,41,615,0.000217124,3041
146,41,616,0.001200736,3041
147,41,618,0.000219674,3041
148,41,619,0.003994401,3041
152,42,11917,0.000403246,3042
150,42,11918,0.002202695,3042
151,42,11919,0.000269527,3042
153,42,11926,0.001571148,3042
154,42,11927,0.001197135,3042
155,42,11928,0.000690802,3042
161,43,11135,9.68E-07,3043
162,43,11136,7.47E-05,3043
159,43,11863,0.000874785,3043
158,43,11864,0.003242762,3043
157,43,11865,0.001603856,3043
160,43,11880,7.57E-05,3043
156,43,11915,0.000422506,3043
166,44,11417,2.33E-05,3044
167,44,11419,4.77E-05,3044
168,44,11434,4.82E-05,3044
169,44,11437,0.003570985,3044
18817,44,11437,1.32E-08,3044
170,44,11438,0.002081171,3044
164,44,11813,2.33E-07,3044
163,44,12003,0.000454217,3044
18816,44,12003,1.32E-08,3044
165,44,12004,2.92E-05,3044
172,45,801,0.004264629,3045
173,45,802,0.001969308,3045
171,45,818,2.23E-05,3045
177,46,365,0.002943671,3046
174,46,931,0.002961691,3046
176,46,934,3.07E-07,3046
175,46,936,0.000309523,3046
181,47,704,4.29E-05,3047
180,47,705,0.001835894,3047
179,47,706,0.002656251,3047
178,47,716,0.001794364,3047
183,49,980,0.001676159,3049
18820,49,980,7.06E-06,3049
182,49,982,1.19E-06,3049
18818,49,982,6.77E-07,3049
184,53,1251,0.0044423,3053
187,53,1260,5.37E-08,3053
189,53,1261,0.000987717,3053
185,53,1262,0.008731744,3053
188,53,1263,0.000494885,3053
186,53,1264,0.010055341,3053
193,54,1277,0.000227538,3054
196,54,1279,0.000194027,3054
190,54,1287,0.000559343,3054
191,54,1288,0.000145787,3054
194,54,1289,0.001122572,3054
192,54,1291,0.003924725,3054
195,54,1292,2.56E-06,3054
200,55,1351,0.005340317,3055
199,55,1352,8.96E-05,3055
201,55,1536,0.001071706,3055
202,55,1537,0.001934317,3055
197,55,1538,0.015104645,3055
203,55,1539,0.000513549,3055
204,55,1540,0.000110236,3055
198,55,1541,0.000386748,3055
216,56,454,7.46E-06,3056
213,56,462,0.003639943,3056
214,56,463,0.004588165,3056
212,56,465,0.001835605,3056
205,56,466,0.000410353,3056
215,56,467,0.00220725,3056
206,56,468,0.000258537,3056
207,56,1309,2.84E-06,3056
208,56,1314,0.001209455,3056
210,56,1685,0.00360819,3056
211,56,1686,0.00677833,3056
209,56,1688,0.000162638,3056
217,57,474,8.33E-05,3057
219,57,480,0.001153775,3057
18824,57,480,3.25E-06,3057
18826,57,480,1.77E-06,3057
18828,57,480,2.86E-06,3057
18830,57,480,3.88E-06,3057
18832,57,480,6.12E-08,3057
218,57,496,0.00045719,3057
18822,57,496,5.17E-06,3057
222,58,459,0.007608982,3058
221,58,494,0.008543788,3058
220,58,1702,0.000317761,3058
225,59,1705,0.003708168,3059
226,59,1706,0.007948061,3059
227,59,1707,0.002355275,3059
223,59,1708,0.003509579,3059
228,59,1709,0.004960918,3059
224,59,1710,0.001904324,3059
229,60,1702,8.19E-05,3060
230,62,919,0.008651423,3062
231,62,953,0.000575046,3062
234,62,1010,0.005754402,3062
233,62,1013,0.00018432,3062
232,62,1015,0.009786878,3062
236,63,1014,0.004951224,3063
237,63,1017,0.000473227,3063
238,63,1018,0.003198558,3063
239,63,1019,0.007648733,3063
240,63,1021,0.004125844,3063
235,63,1023,0.003720449,3063
241,63,1034,0.000831746,3063
245,64,1020,0.001715227,3064
246,64,1022,0.004891652,3064
247,64,1188,0.003012801,3064
248,64,1189,0.002470817,3064
249,64,1190,0.002894068,3064
242,64,1191,0.005400719,3064
251,64,1192,0.001819022,3064
250,64,1193,0.001192731,3064
243,64,1194,0.001386116,3064
244,64,1227,8.87E-05,3064
