TAZ,pop,hh,emp
241,7256,3040,2428
242,11218,4700,6371
243,12993,5672,15802
244,6782,3070,5486
245,413,184,24
246,1154,522,407
247,2744,1141,1023
248,4044,1651,1712
249,2677,1174,912
250,3233,1321,381
251,2359,509,2172
252,5464,2109,2701
253,4553,1879,309
254,3957,1642,232
255,2203,934,426
256,1870,756,28
257,4975,1949,394
258,3421,1353,908
259,3005,1239,235
260,4815,2160,2500
261,1385,490,2008
262,1517,629,240
263,1598,701,455
264,1686,717,223
265,3762,1599,994
266,4651,1735,1067
267,6442,2332,3596
268,4143,1568,969
269,7482,2964,4179
270,2166,897,219
271,864,351,140
272,1347,542,360
273,6754,3871,7964
274,9164,4264,11052
275,8663,3687,1427
276,7554,3941,2277
277,23807,8998,20586
278,7933,3578,6759
279,7339,2897,7063
280,15158,6931,2307
281,4673,1591,5913
282,4519,2086,814
283,4190,1956,4081
284,4708,1913,1073
285,3602,1445,2310
286,4725,1970,315
287,2526,1041,140
288,3137,1304,298
289,661,268,311
290,959,401,274
291,1065,438,1216
292,1475,618,255
293,4191,1701,1348
294,2014,784,1126
295,3083,1291,348
296,1826,773,219
297,4792,1973,802
298,870,377,96
299,1238,545,261
300,7856,2505,10159
301,9921,3978,8760
302,1106,438,89
303,2648,1022,479
304,7034,2556,423
305,3732,1425,412
306,2618,1045,373
307,6429,2508,2021
308,7567,2626,4730
309,3296,1327,1630
310,7266,2628,14700
311,4400,1720,701
312,4088,1584,216
313,7037,2889,3575
314,4571,1701,2484
315,7248,2419,14357
316,6181,2303,4112
317,11841,4760,9070
318,17041,6775,8506
319,11892,4605,4623
320,8842,3329,1249
321,6549,2643,4204
322,9276,3630,1112
323,11692,4130,3746
324,716,251,55
325,545,267,29
326,3133,1177,1403
327,3645,1378,920
328,3185,1301,401
329,6395,2550,857
330,12135,4812,4654
331,8931,4739,7112
332,13673,6565,5394
333,13052,5300,5491
334,17376,6681,1826
335,21659,10431,28587
336,53583,27950,44420
337,7717,3215,9585
338,6652,3019,2136
339,987,351,4799
340,9576,3609,410
341,9615,3715,506
342,5084,1906,5473
343,7549,1006,1743
344,7946,3287,1480
345,1691,691,53
346,9307,3811,493
347,18159,7953,21573
348,12490,6970,5221
349,18398,8303,5831
350,6657,3806,3578
351,12725,5388,4531
352,18616,7982,6669
353,6953,3509,5512
354,1407,579,5966
355,5460,2547,6607
356,244,112,238
357,820,392,5410
358,4477,1809,713
359,3304,1378,461
360,5727,2574,3582
361,11064,5332,9996
362,8180,3613,1812
363,2128,985,6101
364,9741,4436,1928
365,8355,3408,2023
366,2902,1156,180
367,2619,1041,210
368,7160,2928,905
369,592,236,17
370,1071,441,159
371,1888,779,111
372,1896,763,1673
373,2931,1125,1189
374,1349,571,142
375,2553,1051,414
376,2012,781,54
377,6,5,0
378,736,341,1296
379,1930,864,1509
380,11320,2114,2137
381,49,23,8625
382,17300,7069,3818
383,20699,10915,26761
384,14983,6957,15974
385,16382,7510,9706
386,15017,5973,1870
387,22880,10271,16598
388,35512,16474,23482
389,25453,7873,2411
390,2035,788,124
391,6891,3413,1552
392,636,269,821
393,4056,1610,416
394,2570,1150,718
395,1889,788,1037
396,2359,1045,422
397,13964,6301,3683
398,26528,11993,11057
399,27861,12799,6513
400,9929,4380,1725
401,4647,977,2049
402,6912,2788,936
403,3217,1227,111
404,9591,3634,978
405,9520,4162,5430
406,2022,725,411
407,2366,1024,1100
408,6232,2717,2518
409,428,182,46
410,332,128,0
411,891,330,34
412,882,382,26
413,384,168,877
414,1823,759,186
415,7978,3638,3901
416,15298,6815,9170
417,11332,5943,14829
418,7832,2374,2267
419,5407,2400,996
420,6444,2794,1611
421,3856,1523,1233
422,8139,4293,3881
423,3980,1708,2118
424,5753,2593,1519
425,2378,993,449
426,259,121,204
427,1347,566,849
428,2447,1059,1076
429,3947,1637,461
430,5747,1968,1986
431,1002,287,1431
432,174,76,1
433,1453,640,546
434,7499,2624,139
435,1026,367,109
436,945,328,127
437,1458,519,91
438,1758,674,1170
439,2856,944,668
440,1611,593,1107
441,1769,275,319
442,3339,1127,220
443,6124,2230,2665
444,4110,1508,297
445,0,0,0
446,259,95,0
447,6465,2392,904
448,1031,394,64
449,3697,1457,218
450,21906,9715,14594
451,3073,0,372
452,10361,3000,700
453,0,0,3048
454,0,0,0
455,8821,3503,1037
456,9309,3609,454
457,3316,1580,1065
458,2412,957,1376
459,1451,722,327
460,12,7,9
461,1910,812,1912
462,771,326,445
463,1001,380,261
464,1099,497,115
465,4309,1653,784
466,4168,1609,376
467,0,0,0
468,0,0,3
469,373,131,316
470,3084,1166,1463
471,14842,5642,4604
472,15106,6650,3350
473,8742,4787,26543
474,36624,17313,30793
475,9005,4096,4595
476,26171,12664,19782
477,12301,4741,5663
478,15842,7360,5858
479,17200,8081,2817
480,3323,1313,3761
481,19944,8255,4113
482,14781,6879,2265
483,1608,715,4219
484,3301,1072,5709
485,3227,1337,1504
486,676,294,386
487,3987,1330,15235
